;AphiaID;accid;class;order;family;genus;subgenus;species;subspecies;ScientificName;taxonomicStatus;taxonRank;type;authorship;source;valid_AphiaID
4154;447773;NA;Malacostraca;Decapoda;Portunidae;Portunus;;argentatus;glareosus;Portunus argentatus glareosus;superseded combination;Subspecies;synonym;(Alcock, 1899);WORMS;1254004
4155;451965;NA;Malacostraca;Decapoda;Portunidae;Amphitrite;NA;haanii;NA;Amphitrite haanii;superseded combination;Species;synonym;Stimpson, 1858;WORMS;1361696
4156;1061711;NA;Malacostraca;Decapoda;Portunidae;Monomia;NA;pseudoargentatus;NA;Monomia pseudoargentatus;superseded combination;Species;synonym;(Stephenson, 1961);WORMS;1361696
4157;442798;NA;Malacostraca;Decapoda;Portunidae;Portunus;;pseudoargentatus;NA;Portunus pseudoargentatus;superseded combination;Species;synonym;Stephenson, 1961;WORMS;1361696
4158;1287828;NA;Malacostraca;Decapoda;Portunidae;Portunus;NA;haani;NA;Portunus haani;superseded combination;Species;synonym;(Stimpson, 1858);WORMS;1361696
4159;1361697;NA;Malacostraca;Decapoda;Portunidae;Portunus;NA;pseudoargentatus;NA;Portunus pseudoargentatus;junior subjective synonym;Species;synonym;Stephenson, 1961;WORMS;1361696
4160;442796;NA;Malacostraca;Decapoda;Portunidae;Portunus;;lecromi;NA;Portunus lecromi;superseded combination;Species;synonym;Moosa, 1996;WORMS;1061708
4161;1389309;NA;Malacostraca;Decapoda;Portunidae;Portunus;NA;lecromi;NA;Portunus lecromi;superseded combination;Species;synonym;Moosa, 1996;WORMS;1061708
4162;454111;NA;Malacostraca;Decapoda;Portunidae;Neptunus;;petreus;NA;Neptunus petreus;superseded combination;Species;synonym;Alcock, 1899;WORMS;1061709
4163;208793;NA;Malacostraca;Decapoda;Portunidae;Portunus;;petreus;NA;Portunus petreus;superseded combination;Species;synonym;(Alcock, 1899);WORMS;1061709
4164;442797;NA;Malacostraca;Decapoda;Portunidae;Portunus;;ponticus;NA;Portunus ponticus;unaccepted;Species;synonym;(Fabricius, 1798);WORMS;1061710
4165;454907;NA;Malacostraca;Decapoda;Portunidae;Portunus;NA;ponticus;NA;Portunus ponticus;unaccepted;Species;synonym;Fabricius, 1798;WORMS;1061710
4166;454908;NA;Malacostraca;Decapoda;Portunidae;Portunus;NA;ponticus;NA;Portunus ponticus;unaccepted;Species;synonym;Weber, 1795;WORMS;1061710
4167;451840;NA;Malacostraca;Decapoda;Portunidae;Achelous;NA;rubro-marginatus;NA;Achelous rubro-marginatus;superseded combination;Species;synonym;Lanchester, 1900;WORMS;1061712
4168;442799;NA;Malacostraca;Decapoda;Portunidae;Portunus;;rubromarginatus;NA;Portunus rubromarginatus;superseded combination;Species;synonym;(Lanchester, 1900);WORMS;1061712
4169;442800;NA;Malacostraca;Decapoda;Portunidae;Portunus;;samoensis;NA;Portunus samoensis;superseded combination;Species;synonym;(Ward, 1939);WORMS;454051
4170;880735;NA;Malacostraca;Decapoda;Portunidae;Vojmirophthalmus;NA;nacreus;NA;Vojmirophthalmus nacreus;superseded combination;Species;synonym;(Alcock, 1899);WORMS;442746
4171;454855;NA;Malacostraca;Decapoda;Portunidae;Podophthalmus;NA;spinosus;NA;Podophthalmus spinosus;junior subjective synonym;Species;synonym;Lamarck, 1801;WORMS;208884
4172;454923;NA;Malacostraca;Decapoda;Portunidae;Portunus;NA;vigil;NA;Portunus vigil;unaccepted;Species;synonym;Fabricius, 1798;WORMS;208884
4173;454924;NA;Malacostraca;Decapoda;Portunidae;Portunus;NA;vigil;NA;Portunus vigil;unaccepted;Species;synonym;Weber, 1795;WORMS;208884
4174;453823;NA;Malacostraca;Decapoda;Portunidae;Lupea;NA;anceps;NA;Lupea anceps;superseded combination;Species;synonym;de Saussure, 1857;WORMS;1061742
4175;453824;NA;Malacostraca;Decapoda;Portunidae;Lupea;NA;duchassagni;NA;Lupea duchassagni;junior subjective synonym;Species;synonym;Desbonne in Desbonne & Schramm, 1867;WORMS;1061742
4176;454139;NA;Malacostraca;Decapoda;Portunidae;Neptunus;NA;sulcatus;NA;Neptunus sulcatus;junior subjective synonym;Species;synonym;A. Milne-Edwards, 1879;WORMS;1061742
4177;241114;NA;Malacostraca;Decapoda;Portunidae;Portunus;;anceps;NA;Portunus anceps;superseded combination;Species;synonym;(de Saussure, 1857);WORMS;1061742
4178;454127;NA;Malacostraca;Decapoda;Portunidae;Neptunus;NA;armatus;NA;Neptunus armatus;superseded combination;Species;synonym;A. Milne-Edwards, 1861;WORMS;1061743
4179;442803;NA;Malacostraca;Decapoda;Portunidae;Portunus;;armatus;NA;Portunus armatus;superseded combination;Species;synonym;(A. Milne-Edwards, 1861);WORMS;1061743
4180;454138;NA;Malacostraca;Decapoda;Portunidae;Neptunus;NA;sieboldi;NA;Neptunus sieboldi;junior subjective synonym;Species;synonym;A. Milne-Edwards, 1861;WORMS;1061745
4181;208801;NA;Malacostraca;Decapoda;Portunidae;Portunus;;convexus;NA;Portunus convexus;superseded combination;Species;synonym;De Haan, 1835;WORMS;1061745
4182;880763;NA;Malacostraca;Decapoda;Portunidae;Portunus;;hawaiiensis;NA;Portunus hawaiiensis;superseded combination;Species;synonym;Stephenson, 1968;WORMS;1061748
4183;442811;NA;Malacostraca;Decapoda;Portunidae;Portunus;;sanguinolentus;hawaiiensis;Portunus sanguinolentus hawaiiensis;superseded combination;Subspecies;synonym;Stephenson, 1968;WORMS;1061748
4184;1061772;NA;Malacostraca;Decapoda;Portunidae;Portunus;NA;sanguinolentus;hawaiiensis;Portunus sanguinolentus hawaiiensis;superseded combination;Subspecies;synonym;Stephenson, 1968;WORMS;1061748
4185;454110;NA;Malacostraca;Decapoda;Portunidae;Neptunus;;inaequalis;NA;Neptunus inaequalis;superseded combination;Species;synonym;Miers, 1881;WORMS;1061749
4186;107403;NA;Malacostraca;Decapoda;Portunidae;Portunus;;inaequalis;NA;Portunus inaequalis;superseded combination;Species;synonym;(Miers, 1881);WORMS;1061749
4187;212789;NA;Malacostraca;Decapoda;Portunidae;Callinectes;NA;madagascariensis;NA;Callinectes madagascariensis;superseded combination;Species;synonym;(Hoffman, 1874);WORMS;1061750
4188;454132;NA;Malacostraca;Decapoda;Portunidae;Neptunus;NA;madagascariensis;NA;Neptunus madagascariensis;superseded combination;Species;synonym;Hoffman, 1874;WORMS;1061750
4189;208810;NA;Malacostraca;Decapoda;Portunidae;Portunus;;madagascariensis;NA;Portunus madagascariensis;superseded combination;Species;synonym;(Hoffmann, 1874);WORMS;1061750
