;AphiaID;accid;class;order;family;genus;subgenus;species;subspecies;ScientificName;taxonomicStatus;taxonRank;type;authorship;source;valid_AphiaID
4491;455441;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;;magdalenense;NA;Sesarma magdalenense;unaccepted;Species;synonym;Rathbun, 1918;WORMS;444485
4492;455442;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;;miersii;NA;Sesarma miersii;unaccepted;Species;synonym;Rathbun, 1897;WORMS;422193
4493;455437;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;;biolleyi;NA;Sesarma biolleyi;unaccepted;Species;synonym;Rathbun, 1906;WORMS;444486
4494;455439;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;;festae;NA;Sesarma festae;unaccepted;Species;synonym;Nobili, 1901;WORMS;444486
4495;455549;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;NA;occidentalis;NA;Sesarma occidentalis;unaccepted;Species;synonym;Smith, 1870;WORMS;444486
4496;455562;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;NA;rubripes;NA;Sesarma rubripes;unaccepted;Species;synonym;Rathbun, 1897;WORMS;444488
4497;455576;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;NA;trapezium;NA;Sesarma trapezium;unaccepted;Species;synonym;Dana, 1852;WORMS;444488
4498;444490;NA;Malacostraca;Decapoda;Sesarmidae;Bresedium;NA;philippinense;NA;Bresedium philippinense;unaccepted;Species;synonym;(Rathbun, 1914);WORMS;444489
4499;455469;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;;edwardsi;philippinense;Sesarma edwardsi philippinense;unaccepted;Subspecies;synonym;Rathbun, 1914;WORMS;444489
4500;455490;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;NA;edwardsi;var. brevipes;Sesarma edwardsi var. brevipes;unaccepted;Variety;synonym;de Man, 1889;WORMS;444489
4501;444491;NA;Malacostraca;Decapoda;Sesarmidae;Bresedium;NA;sediliense;NA;Bresedium sediliense;unaccepted;Species;synonym;(Tweedie, 1940);WORMS;1472878
4502;444663;NA;Malacostraca;Decapoda;Sesarmidae;Pseudosesarma;NA;laevimanum;NA;Pseudosesarma laevimanum;unaccepted;Species;synonym;(Zehntner, 1894);WORMS;1472878
4503;1355739;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;NA;edwardsii;var. laevimana;Sesarma edwardsii var. laevimana;unaccepted;Variety;synonym;Zehntner, 1894;WORMS;1472878
4504;455531;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;NA;laevimanum;NA;Sesarma laevimanum;unaccepted;Species;synonym;Zehntner, 1894;WORMS;1472878
4505;455566;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;NA;sediliensis;NA;Sesarma sediliensis;unaccepted;Species;synonym;Tweedie, 1940;WORMS;1472878
4506;453243;NA;Malacostraca;Decapoda;Grapsidae;Grapsus;;haematocheir;NA;Grapsus haematocheir;unaccepted;Species;synonym;De Haan, 1833;WORMS;444497
4507;453387;NA;Malacostraca;Decapoda;Grapsidae;Holometopus;NA;serenei;NA;Holometopus serenei;unaccepted;Species;synonym;Soh, 1978;WORMS;444497
4508;246188;NA;Malacostraca;Decapoda;Sesarmidae;Perisesarma;NA;haematocheir;NA;Perisesarma haematocheir;unaccepted;Species;synonym;(De Haan, 1833 [in De Haan, 1833-1850]);WORMS;444497
4509;1471409;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;NA;haematocheir;NA;Sesarma haematocheir;unaccepted;Species;synonym;(De Haan, 1833 [in De Haan, 1833-1850]);WORMS;444497
4510;444501;NA;Malacostraca;Decapoda;Sesarmidae;Chiromantes;NA;ryukyuanum;NA;Chiromantes ryukyuanum;unaccepted;Species;synonym;Naruse & P.K.L. Ng, 2008;WORMS;1472765
4511;455471;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;;tectum;NA;Sesarma tectum;unaccepted;Species;synonym;Rathbun, 1914;WORMS;444502
4512;455533;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;NA;lanatum;NA;Sesarma lanatum;unaccepted;Species;synonym;Alcock, 1900;WORMS;444504
4513;1376064;NA;Malacostraca;Decapoda;Sesarmidae;Clistocoeloma;NA;Merguiensis;NA;Clistocoeloma Merguiensis;unaccepted;Species;synonym;de Man, 1888 [in de Man, 1887-1888];WORMS;444505
4514;1474862;NA;Malacostraca;Decapoda;Sesarmidae;Chiromantes;NA;villosum;NA;Chiromantes villosum;unaccepted;Species;synonym;(A. Milne-Edwards, 1869);WORMS;444509
4515;209166;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;NA;villosum;NA;Sesarma villosum;unaccepted;Species;synonym;A. Milne-Edwards, 1869;WORMS;444509
4516;444658;NA;Malacostraca;Decapoda;Sesarmidae;Pseudosesarma;NA;bocourti;NA;Pseudosesarma bocourti;unaccepted;Species;synonym;(A. Milne-Edwards, 1869);WORMS;1472867
4517;455487;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;NA;bocourti;NA;Sesarma bocourti;unaccepted;Species;synonym;A. Milne-Edwards, 1869;WORMS;1472867
4518;455495;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;NA;cheirogona;NA;Sesarma cheirogona;unaccepted;Species;synonym;Targioni Tozzetti, 1877;WORMS;1472869
4519;246255;NA;Malacostraca;Decapoda;Sesarmidae;Chiromantes;NA;eulimene;NA;Chiromantes eulimene;unaccepted;Species;synonym;(de Man in Weber, 1897);WORMS;1472859
4520;207568;NA;Malacostraca;Decapoda;Grapsidae;Holometopus;NA;eulimene;NA;Holometopus eulimene;unaccepted;Species;synonym;(de Man in Weber, 1898);WORMS;1472859
4521;444496;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;;eulimene;NA;Sesarma eulimene;unaccepted;Species;synonym;de Man in Weber, 1897;WORMS;1472859
4522;209164;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;NA;eulimene;NA;Sesarma eulimene;unaccepted;Species;synonym;de Man in Weber, 1897;WORMS;1472859
4523;246162;NA;Malacostraca;Decapoda;Sesarmidae;Chiromantes;NA;ortmanni;NA;Chiromantes ortmanni;unaccepted;Species;synonym;(Crosnier, 1965);WORMS;1472860
4524;207567;NA;Malacostraca;Decapoda;Grapsidae;Holometopus;NA;ortmanni;NA;Holometopus ortmanni;unaccepted;Species;synonym;(Crosnier, 1965);WORMS;1472860
4525;444615;NA;Malacostraca;Decapoda;Sesarmidae;Parasesarma;NA;africanum;NA;Parasesarma africanum;unaccepted;Species;synonym;(Ortmann, 1894);WORMS;1472860
4526;444500;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;;ortmanni;NA;Sesarma ortmanni;unaccepted;Species;synonym;Crosnier, 1965;WORMS;1472860
4527;455475;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;NA;africanum;NA;Sesarma africanum;unaccepted;Species;synonym;(Ortmann, 1894);WORMS;1472860
4528;1375846;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;NA;erythodactyla;var. africana;Sesarma erythodactyla var. africana;unaccepted;Variety;synonym;Ortmann, 1894;WORMS;1472860
4529;223849;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;NA;erythrodactylum;africanum;Sesarma erythrodactylum africanum;unaccepted;Subspecies;synonym;Ortmann, 1894;WORMS;1472860
4530;209174;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;NA;ortmanni;NA;Sesarma ortmanni;unaccepted;Species;synonym;Crosnier, 1965;WORMS;1472860
4531;881921;NA;Malacostraca;Decapoda;Varunidae;Cyclograpsus;NA;lophopus;NA;Cyclograpsus lophopus;unaccepted;Species;synonym;Nobili, 1906;WORMS;881922
4532;881911;NA;Malacostraca;Decapoda;Sesarmidae;Chiromantes;NA;eurymerus;NA;Chiromantes eurymerus;unaccepted;Species;synonym;Davie & P.K.L. Ng, 2013;WORMS;1472856
4533;881913;NA;Malacostraca;Decapoda;Sesarmidae;Chiromantes;NA;garfunkel;NA;Chiromantes garfunkel;unaccepted;Species;synonym;Davie & P.K.L. Ng, 2013;WORMS;1472857
4534;881914;NA;Malacostraca;Decapoda;Sesarmidae;Chiromantes;NA;leptomerus;NA;Chiromantes leptomerus;unaccepted;Species;synonym;Davie & P.K.L. Ng, 2013;WORMS;1472855
4535;881912;NA;Malacostraca;Decapoda;Sesarmidae;Chiromantes;NA;obtusifrons;NA;Chiromantes obtusifrons;unaccepted;Species;synonym;(Dana, 1851);WORMS;1472853
4536;444499;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;NA;obtusifrons;NA;Sesarma obtusifrons;unaccepted;Species;synonym;Dana, 1851;WORMS;1472853
4537;881915;NA;Malacostraca;Decapoda;Sesarmidae;Chiromantes;NA;silus;NA;Chiromantes silus;unaccepted;Species;synonym;Davie & P.K.L. Ng, 2013;WORMS;1472854
4538;455462;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;;chentongense;NA;Sesarma chentongense;unaccepted;Species;synonym;Serène & Soh, 1967;WORMS;444511
4539;455501;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;NA;taeniolata;crebrestriatum;Sesarma taeniolata crebrestriatum;unaccepted;Subspecies;synonym;Tesch, 1917;WORMS;444512
4540;455532;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;NA;lafondii;NA;Sesarma lafondii;unaccepted;Species;synonym;Hombron & Jacquinot, 1846;WORMS;444513
4541;1471405;NA;Malacostraca;Decapoda;Sesarmidae;Neoepisesarma;NA;mederi;NA;Neoepisesarma mederi;unaccepted;Species;synonym;(H. Milne Edwards, 1853);WORMS;444510
4542;455541;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;NA;mederi;NA;Sesarma mederi;unaccepted;Species;synonym;A. Milne-Edwards, 1853;WORMS;444510
4543;455574;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;NA;taeniolata;NA;Sesarma taeniolata;unaccepted;Species;synonym;White, 1847;WORMS;444510
4544;455573;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;NA;taeniolata;NA;Sesarma taeniolata;unaccepted;Species;synonym;Miers, 1877;WORMS;444510
4545;455467;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;;palawanense;NA;Sesarma palawanense;unaccepted;Species;synonym;Rathbun, 1914;WORMS;444515
4546;455570;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;;singaporensis;NA;Sesarma singaporensis;unaccepted;Species;synonym;Tweedie, 1936;WORMS;444516
4547;455579;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;NA;versicolor;NA;Sesarma versicolor;unaccepted;Species;synonym;Tweedie, 1940;WORMS;444517
4548;444647;NA;Malacostraca;Decapoda;Sesarmidae;Perisesarma;NA;fasciatum;NA;Perisesarma fasciatum;unaccepted;Species;synonym;(Lanchester, 1900);WORMS;1061897
4549;455422;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;;siamense;NA;Sesarma siamense;unaccepted;Species;synonym;Rathbun, 1909;WORMS;1061897
4550;455512;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;NA;fasciata;NA;Sesarma fasciata;unaccepted;Species;synonym;Lanchester, 1900;WORMS;1061897
4551;455461;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;;Amphinome;NA;Sesarma Amphinome;unaccepted;Species;synonym;de Man, 1899;WORMS;444520
4552;871412;NA;Malacostraca;Decapoda;Sesarmidae;Perisesarma;NA;alberti;NA;Perisesarma alberti;unaccepted;Species;synonym;(Rathbun, 1921);WORMS;1060740
4553;444642;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;;alberti;NA;Sesarma alberti;unaccepted;Species;synonym;Rathbun, 1921;WORMS;1060740
4554;241209;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;;alberti;NA;Sesarma alberti;unaccepted;Species;synonym;(Rathbun, 1921);WORMS;1060740
