"AphiaID","accid","class","order","family","genus","subgenus","species","subspecies","canonical","taxonomicStatus","taxonRank","type","authorship","source","valid_AphiaID","id"
"452089",10462,"Malacostraca","Decapoda","Cancridae","Cancer","","reticulatus",NA,"Cancer reticulatus","unaccepted","Species","synonym","De Haan, 1835 [in De Haan, 1833-1850]","WORMS","444364",691
"452356",832,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"rhomboidalis",NA,"Cancer rhomboidalis","junior subjective synonym","Species","synonym","Montagu, 1804","WORMS","107381",692
"452357",2918,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"rhomboides",NA,"Cancer rhomboides","superseded combination","Species","synonym","Linnaeus, 1758","WORMS","107292",693
"881867",11028,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"rhumphii",NA,"Cancer rhumphii","unaccepted","Species","synonym","Guérin, 1830","WORMS","444383",694
"882095",5823,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"roberti",NA,"Cancer roberti","unaccepted","Species","synonym","Curtiss, 1938","WORMS","207585",695
"452358",3842,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"rostrata",NA,"Cancer rostrata","misspelling","Species","synonym","Linnaeus, 1761","WORMS","107345",696
"148522",3842,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"rostratus",NA,"Cancer rostratus","superseded combination","Species","synonym","Linnaeus, 1761","WORMS","107345",697
"148508",110,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"rotundatus",NA,"Cancer rotundatus","unaccepted","Species","synonym","Olivi, 1792","WORMS","107273",698
"452100",10931,"Malacostraca","Decapoda","Cancridae","Cancer","","rubromaculata",NA,"Cancer rubromaculata","unaccepted","Species","synonym","De Haan, 1835 [in De Haan, 1833-1850]","WORMS","444286",699
"452359",9990,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"rufopunctatus",NA,"Cancer rufopunctatus","superseded combination","Species","synonym","Herbst, 1799 [in Herbst, 1799-1804]","WORMS","210187",700
"452360",5476,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"rumphii",NA,"Cancer rumphii","superseded combination","Species","synonym","JC Fabricius, 1798","WORMS","220326",701
"452087",10805,"Malacostraca","Decapoda","Cancridae","Cancer","","rüppelli",NA,"Cancer rüppelli","unaccepted","Species","synonym","Krauss, 1843","WORMS","444035",702
"452362",1603,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"sabulosus",NA,"Cancer sabulosus","junior subjective synonym","Species","synonym","Herbst, 1799 [in Herbst, 1799-1804]","WORMS","421892",703
"452363",4010,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"sagittarius",NA,"Cancer sagittarius","junior subjective synonym","Species","synonym","JC Fabricius, 1793","WORMS","421957",704
"452364",806,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"sakaii",NA,"Cancer sakaii","unaccepted","Species","synonym","Takeda & Miyake, 1972","WORMS","440390",705
"877871",870,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"samuelis",NA,"Cancer samuelis","unaccepted","Species","synonym","Curtiss, 1938","WORMS","209150",706
"451720",369,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"sanbonsugii",NA,"Cancer sanbonsugii","unaccepted","Species","synonym","Imaizumi, 1962","WORMS","440377",707
"452365",9270,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"sanguineus",NA,"Cancer sanguineus","superseded combination","Species","synonym","Linnaeus, 1771","WORMS","241149",708
"452366",8868,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"sanguinolentus",NA,"Cancer sanguinolentus","unaccepted","Species","synonym","Herbst, 1783 [in Herbst, 1782-1790]","WORMS","1061758",709
"452367",5864,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"saratan",NA,"Cancer saratan","unaccepted","Species","synonym","Forskål, 1775","WORMS","207586",710
"452368",3801,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"satuak",NA,"Cancer satuak","junior subjective synonym","Species","synonym","Herbst, 1782 [in Herbst, 1782-1790]","WORMS","107333",711
"452369",10382,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"savignii",NA,"Cancer savignii","unaccepted","Species","synonym","H. Milne Edwards, 1834","WORMS","444019",712
"881866",11028,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"saxatilis",NA,"Cancer saxatilis","unaccepted","Species","synonym","Herbst, 1785 [in Herbst, 1782-1790]","WORMS","444383",713
"557541",545,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"Sayi",NA,"Cancer Sayi","unaccepted","Species","synonym","Gould, 1841","WORMS","158057",714
"452370",5486,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"scaber",NA,"Cancer scaber","superseded combination","Species","synonym","JC Fabricius, 1798","WORMS","440499",715
"452371",4767,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"scabriuscula",NA,"Cancer scabriuscula","unaccepted","Species","synonym","Fabricius, 1798","WORMS","557701",716
