Family,Genus,Subgenus,ScientificName,Species,SubSpecies,taxonRank_gbif,taxonomicStatus_gbif,taxonRank_corr,AphiaID,Match type,Qualitystatus,Taxon status,ScientificName,Authority,AphiaID_accepted,ScientificName_accepted,Authority_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,isMarine,isBrackish,isFresh,isTerrestrial,valid_AphiaID,reason_excluded,reason_included,match,comments,link
"""Gecarcinucidae""","""Barytelphusa""",NA,"""Barytelphusa guerini""","""guerini""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440533,exact,Checked by Taxonomic Editor,unaccepted,Barytelphusa guerini,"(H. Milne Edwards, 1853)",1560277,Barusa guerini,"(H. Milne Edwards, 1853)",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Barytelphusa,,guerini,,0,0,1,,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Maydelliathelphusa""",NA,"""Maydelliathelphusa masoniana""","""masoniana""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440557,exact,Checked by Taxonomic Editor,accepted,Maydelliathelphusa masoniana,"(Henderson, 1893)",440557,Maydelliathelphusa masoniana,"(Henderson, 1893)",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Maydelliathelphusa,,masoniana,,0,0,1,0,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Sundathelphusa""",NA,"""Sundathelphusa grapsoides""","""grapsoides""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440840,exact,Checked by Taxonomic Editor,accepted,Sundathelphusa grapsoides,"(H. Milne Edwards, 1853)",440840,Sundathelphusa grapsoides,"(H. Milne Edwards, 1853)",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Sundathelphusa,,grapsoides,,0,0,1,0,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Mahatha""",NA,"""Mahatha iora""","""iora""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440668,exact,Checked by Taxonomic Editor,accepted,Mahatha iora,"P.K.L. Ng & Tay, 2001",440668,Mahatha iora,"P.K.L. Ng & Tay, 2001",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Mahatha,,iora,,0,0,1,0,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Perithelphusa""",NA,"""Perithelphusa borneensis""","""borneensis""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440757,exact,Checked by Taxonomic Editor,accepted,Perithelphusa borneensis,"(von Martens, 1868)",440757,Perithelphusa borneensis,"(von Martens, 1868)",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Perithelphusa,,borneensis,,0,0,1,0,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Thelphusula""",NA,"""Thelphusula luidana""","""luidana""",NA,"""SPECIES""","""SYNONYM""","""SPECIES""",440873,exact,Checked by Taxonomic Editor,accepted,Thelphusula luidana,"(Chace, 1938)",440873,Thelphusula luidana,"(Chace, 1938)",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Thelphusula,,luidana,,0,0,1,0,,not marine,,fuzzyWORMS,,
"""Platyxanthidae""","""Homolaspis""",NA,"""Homolaspis plana""","""plana""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440523,phonetic,Checked by Taxonomic Editor,accepted,Homalaspis plana,"(H. Milne Edwards, 1834)",440523,Homalaspis plana,"(H. Milne Edwards, 1834)",Animalia,Arthropoda,Malacostraca,Decapoda,Platyxanthidae,Homalaspis,,plana,,1,0,0,0,,,misspelling,fuzzyWORMS,,
"""Gecarcinucidae""","""Perbrinckia""",NA,"""Perbrinckia scansor""","""scansor""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440755,exact,Checked by Taxonomic Editor,accepted,Perbrinckia scansor,"(PKL Ng, 1995)",440755,Perbrinckia scansor,"(PKL Ng, 1995)",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Perbrinckia,,scansor,,0,0,0,1,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Sundathelphusa""",NA,"""Sundathelphusa longipes""","""longipes""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440844,exact,Checked by Taxonomic Editor,accepted,Sundathelphusa longipes,"(Balss, 1937)",440844,Sundathelphusa longipes,"(Balss, 1937)",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Sundathelphusa,,longipes,,0,0,1,0,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Ghatiana""",NA,"""Ghatiana atropurpurea""","""atropurpurea""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",1262192,exact,Checked by Taxonomic Editor,accepted,Ghatiana atropurpurea,"Pati, Thackeray & Khaire, 2016",1262192,Ghatiana atropurpurea,"Pati, Thackeray & Khaire, 2016",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Ghatiana,,atropurpurea,,0,0,1,0,,not marine,,fuzzyWORMS,,
