Family,Genus,Subgenus,ScientificName_gbif,Species,Subspecies,taxonRank_gbif,taxonomicStatus_gbif,taxonRank_corr,AphiaID,Match type,Qualitystatus,Taxon status,ScientificName,Authority,AphiaID_accepted,ScientificName_accepted,Authority_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,isMarine,isBrackish,isFresh,isTerrestrial,valid_AphiaID,reason_excluded,reason_included,match,comments,link
"""Paguridae""","""Lophopagurus""",NA,"""Lophopagurus eltaninae""","""eltaninae""",NA,"""SPECIES""","""SYNONYM""","""SPECIES""",366503,exact,Checked by Taxonomic Editor,accepted,Lophopagurus (Australeremus) eltaninae,"(McLaughlin & Gunn, 1992)",366503,Lophopagurus (Australeremus) eltaninae,"(McLaughlin & Gunn, 1992)",Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Lophopagurus,Australeremus,eltaninae,,1,0,0,0,,,synonym,fuzzyWORMS,missing subgenus,
"""Coenobitidae""","""Coenobita""",NA,"""Coenobita clypeatus""","""clypeatus""",NA,"""SPECIES""","""SYNONYM""","""SPECIES""",368191,exact,Checked by Taxonomic Editor,accepted,Coenobita clypeatus,"(JC Fabricius, 1787)",368191,Coenobita clypeatus,"(JC Fabricius, 1787)",Animalia,Arthropoda,Malacostraca,Decapoda,Coenobitidae,Coenobita,,clypeatus,,0,0,0,1,,not marine,,fuzzyWORMS,,
"""Paguridae""","""Pylopagurus""",NA,"""Pylopagurus corallinus""","""corallinus""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",,,,,,,,,,,,,,,,,,,,,,,,fossil,,fuzzyWORMS,,
"""Calcinidae""","""Dardanus""",NA,"""Dardanus mexicanus""","""mexicanus""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",,,,,,,,,,,,,,,,,,,,,,,,fossil,,fuzzyWORMS,,
"""Paguridae""","""Pagurus""",NA,"""Pagurus pridaux""","""pridaux""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",107239,near_1,Checked by Taxonomic Editor,accepted,Pagurus prideaux,"Leach, 1815 [in Leach, 1815-1875]",107239,Pagurus prideaux,"Leach, 1815 [in Leach, 1815-1875]",Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,,prideaux,,1,0,0,0,,,misspelling,fuzzyWORMS,,
"""Paguridae""","""Lophopagurus""",NA,"""Lophopagurus indonesiensis""","""indonesiensis""",NA,"""SPECIES""","""SYNONYM""","""SPECIES""",366504,exact,Checked by Taxonomic Editor,accepted,Lophopagurus (Australeremus) indonesiensis,"(McLaughlin, 1997)",366504,Lophopagurus (Australeremus) indonesiensis,"(McLaughlin, 1997)",Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Lophopagurus,Australeremus,indonesiensis,,1,0,0,0,,,synonym,fuzzyWORMS,missing subgenus,
"""Parapaguridae""","""Parapagurus""",NA,"""Parapagurus scaber""","""scaber""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",107245,,,,Parapagurus abyssorum,"(Filhol, 1885)",107245,Parapagurus abyssorum,"(Filhol, 1885)",Animalia,Arthropoda,Malacostraca,Decapoda,Parapaguridae,Parapagurus,,abyssorum,,,,,,,,synonym,by hand,,https://brill.com/downloadpdf/journals/cr/85/4-5/article-p591_12.xml
"""Paguridae""","""Palaeopagurus""",NA,"""Palaeopagurus pilsbryi""","""pilsbryi""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",,,,,,,,,,,,,,,,,,,,,,,,fossil,,fuzzyWORMS,,
"""Paguridae""","""Anapagurus""",NA,"""Anapagurus marginatus""","""marginatus""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",366138,exact,Checked by Taxonomic Editor,taxon inquirendum,Anapagurus marginatus,"A. Milne-Edwards & Bouvier, 1893",366138,Anapagurus marginatus,"A. Milne-Edwards & Bouvier, 1893",Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Anapagurus,,marginatus,,1,0,0,0,,doubtful,,fuzzyWORMS,,
"""Paguridae""","""Lophopagurus""",NA,"""Lophopagurus thompsoni""","""thomsoni""",NA,"""SPECIES""","""SYNONYM""","""SPECIES""",366499,exact,Checked by Taxonomic Editor,accepted,Lophopagurus (Lophopagurus) thompsoni,"(Filhol, 1885)",366499,Lophopagurus (Lophopagurus) thompsoni,"(Filhol, 1885)",Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Lophopagurus,Lophopagurus,thompsoni,,1,0,0,0,,,synonym,fuzzyWORMS,missing subgenus,
"""Paguridae""","""Lophopagurus""",NA,"""Lophopagurus lacertosus""","""lacertosus""",NA,"""SPECIES""","""SYNONYM""","""SPECIES""",366493,exact,Checked by Taxonomic Editor,accepted,Lophopagurus (Lophopagurus) lacertosus,"(Henderson, 1888)",366493,Lophopagurus (Lophopagurus) lacertosus,"(Henderson, 1888)",Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Lophopagurus,Lophopagurus,lacertosus,,1,0,0,0,,,synonym,fuzzyWORMS,missing subgenus,
"""Paguridae""","""Lophopagurus""",NA,"""Lophopagurus cookii""","""cookii""",NA,"""SPECIES""","""SYNONYM""","""SPECIES""",366501,exact,Checked by Taxonomic Editor,accepted,Lophopagurus (Australeremus) cookii,"(Filhol, 1884)",366501,Lophopagurus (Australeremus) cookii,"(Filhol, 1884)",Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Lophopagurus,Australeremus,cookii,,1,0,0,0,,,synonym,fuzzyWORMS,missing subgenus,
"""Diogenidae""","""Paguristes""",NA,"""Paguristes mexicanus""","""mexicanus""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",368254,exact,Checked by Taxonomic Editor,accepted,Paguristes mexicanus,"Vega, Cosma. Coutino, Feldmann, Nyborg, Schweitzer & Waugh, 2001",368254,Paguristes mexicanus,"Vega, Cosma. Coutino, Feldmann, Nyborg, Schweitzer & Waugh, 2001",Animalia,Arthropoda,Malacostraca,Decapoda,Diogenidae,Paguristes,,mexicanus,,1,,,,,fossil,,fuzzyWORMS,,
"""Paguridae""","""Lophopagurus""",NA,"""Lophopagurus triserratus""","""serpulophilus""",NA,"""SPECIES""","""SYNONYM""","""SPECIES""",366508,exact,Checked by Taxonomic Editor,accepted,Lophopagurus (Australeremus) triserratus,"(Ortmann, 1892)",366508,Lophopagurus (Australeremus) triserratus,"(Ortmann, 1892)",Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Lophopagurus,Australeremus,triserratus,,1,0,0,0,,,synonym,fuzzyWORMS,missing subgenus,
"""Paguridae""","""Propagurus""",NA,"""Propagurus obtusiforns""","""obtusiforns""",NA,"""SPECIES""","""SYNONYM""","""SPECIES""",366894,near_1,Checked by Taxonomic Editor,accepted,Propagurus obtusifrons,"(Ortmann, 1892)",366894,Propagurus obtusifrons,"(Ortmann, 1892)",Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Propagurus,,obtusifrons,,1,0,0,0,,,misspelling,fuzzyWORMS,,
"""Munidopsidae""","""Munidopsis""",NA,"""Munidopsis spinifera""","""spinifera""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",392613,near_1,Checked by Taxonomic Editor,accepted,Munidopsis spinifer,"(A. Milne-Edwards, 1880)",392613,Munidopsis spinifer,"(A. Milne-Edwards, 1880)",Animalia,Arthropoda,Malacostraca,Decapoda,Munidopsidae,Munidopsis,,spinifer,,1,0,0,0,,,misspelling,fuzzyWORMS,,
