"AphiaID","accid","class","order","family","genus","subgenus","species","subspecies","canonical","taxonomicStatus","taxonRank","type","authorship","source","valid_AphiaID","id"
"367431",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"anani",NA,"Calcinus anani","accepted","Species","accepted","Poupin & McLaughlin, 1998","WoRMS",NA,118
"412004",154,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"areolatus",NA,"Calcinus areolatus","unaccepted","Species","synonym","Rahayu & Forest, 1999","WORMS","367449",119
"367432",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"argus",NA,"Calcinus argus","accepted","Species","accepted","Wooster, 1984","WoRMS",NA,120
"412005",805,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"astathes",NA,"Calcinus astathes","unaccepted","Species","synonym","Stebbing, 1924","WORMS","367495",121
"367433",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"californiensis",NA,"Calcinus californiensis","accepted","Species","accepted","Bouvier, 1898","WoRMS",NA,122
"367434",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"chilensis",NA,"Calcinus chilensis","accepted","Species","accepted","(H. Milne Edwards, 1836)","WoRMS",NA,123
"412009",147,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"cristimanus",NA,"Calcinus cristimanus","unaccepted","Species","synonym","(H. Milne Edwards, 1848)","WORMS","208677",124
"367435",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"dapsiles",NA,"Calcinus dapsiles","accepted","Species","accepted","Morgan, 1989","WoRMS",NA,125
"208679",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"elegans",NA,"Calcinus elegans","accepted","Species","accepted","(H. Milne Edwards, 1836)","WoRMS",NA,126
"367436",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"explorator",NA,"Calcinus explorator","accepted","Species","accepted","Boone, 1930","WoRMS",NA,127
"412010",173,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"formosus",NA,"Calcinus formosus","unaccepted","Species","synonym","Neumann, 1878","WORMS","367457",128
"753940",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"fuscus",NA,"Calcinus fuscus","accepted","Species","accepted","Malay, Komai & TY Chan, 2012","WoRMS",NA,129
"208672",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"gaimardii",NA,"Calcinus gaimardii","accepted","Species","accepted","(H. Milne Edwards, 1848)","WoRMS",NA,130
"367437",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"gouti",NA,"Calcinus gouti","accepted","Species","accepted","Poupin, 1997","WoRMS",NA,131
"367438",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"guamensis",NA,"Calcinus guamensis","accepted","Species","accepted","Wooster, 1984","WoRMS",NA,132
"246235",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"haigae",NA,"Calcinus haigae","accepted","Species","accepted","Wooster, 1984","WoRMS",NA,133
"367439",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"hakahau",NA,"Calcinus hakahau","accepted","Species","accepted","Poupin & McLaughlin, 1998","WoRMS",NA,134
