"AphiaID","accid","class","order","family","genus","subgenus","species","subspecies","ScientificName","taxonomicStatus","taxonRank","type","authorship","source"
"467718",0,"Malacostraca","Decapoda","Blepharipodidae","Blepharipoda",NA,"spinosa",NA,"Blepharipoda spinosa","accepted","Species","accepted","(H. Milne Edwards & Lucas, 1841)","WoRMS"
"467714",0,"Malacostraca","Decapoda","Blepharipodidae","Lophomastix",NA,"diomedeae",NA,"Lophomastix diomedeae","accepted","Species","accepted","Benedict, 1904","WoRMS"
"467705",0,"Malacostraca","Decapoda","Blepharipodidae","Lophomastix",NA,"japonica",NA,"Lophomastix japonica","accepted","Species","accepted","(Duruflé, 1889)","WoRMS"
"367399",0,"Malacostraca","Decapoda","Calcinidae","Allodardanus",NA,"bredini",NA,"Allodardanus bredini","accepted","Species","accepted","Haig & Provenzano, 1965","WoRMS"
"367400",0,"Malacostraca","Decapoda","Calcinidae","Allodardanus",NA,"midas",NA,"Allodardanus midas","accepted","Species","accepted","McLaughlin & Gore, 1985","WoRMS"
"367401",0,"Malacostraca","Decapoda","Calcinidae","Allodardanus",NA,"rugosus",NA,"Allodardanus rugosus","accepted","Species","accepted","Haig & Provenzano, 1965","WoRMS"
"208666",0,"Malacostraca","Decapoda","Calcinidae","Aniculus",NA,"aniculus",NA,"Aniculus aniculus","accepted","Species","accepted","(JC Fabricius, 1787)","WoRMS"
"367402",0,"Malacostraca","Decapoda","Calcinidae","Aniculus",NA,"elegans",NA,"Aniculus elegans","accepted","Species","accepted","Stimpson, 1858","WoRMS"
"208662",0,"Malacostraca","Decapoda","Calcinidae","Aniculus",NA,"erythraeus",NA,"Aniculus erythraeus","accepted","Species","accepted","Forest, 1984","WoRMS"
"367403",0,"Malacostraca","Decapoda","Calcinidae","Aniculus",NA,"hopperae",NA,"Aniculus hopperae","accepted","Species","accepted","McLaughlin & Hoover, 1996","WoRMS"
"208664",0,"Malacostraca","Decapoda","Calcinidae","Aniculus",NA,"maximus",NA,"Aniculus maximus","accepted","Species","accepted","Edmondson, 1952","WoRMS"
"367404",0,"Malacostraca","Decapoda","Calcinidae","Aniculus",NA,"miyakei",NA,"Aniculus miyakei","accepted","Species","accepted","Forest, 1984","WoRMS"
"208663",0,"Malacostraca","Decapoda","Calcinidae","Aniculus",NA,"retipes",NA,"Aniculus retipes","accepted","Species","accepted","Lewinsohn, 1982","WoRMS"
"367405",0,"Malacostraca","Decapoda","Calcinidae","Aniculus",NA,"sibogae",NA,"Aniculus sibogae","accepted","Species","accepted","Forest, 1984","WoRMS"
"208665",0,"Malacostraca","Decapoda","Calcinidae","Aniculus",NA,"ursus",NA,"Aniculus ursus","accepted","Species","accepted","(Olivier, 1812)","WoRMS"
"212488",0,"Malacostraca","Decapoda","Calcinidae","Bathynarius",NA,"albicinctus",NA,"Bathynarius albicinctus","accepted","Species","accepted","(Alcock, 1905)","WoRMS"
"367406",0,"Malacostraca","Decapoda","Calcinidae","Bathynarius",NA,"anomalus",NA,"Bathynarius anomalus","accepted","Species","accepted","(A. Milne-Edwards & Bouvier, 1893)","WoRMS"
"367407",0,"Malacostraca","Decapoda","Calcinidae","Bathynarius",NA,"izuensis",NA,"Bathynarius izuensis","accepted","Species","accepted","Komai & Takeda, 2004","WoRMS"
"367408",0,"Malacostraca","Decapoda","Calcinidae","Bathynarius",NA,"pacificus",NA,"Bathynarius pacificus","accepted","Species","accepted","Forest, 1993","WoRMS"
"212489",0,"Malacostraca","Decapoda","Calcinidae","Bathynarius",NA,"wolffi",NA,"Bathynarius wolffi","accepted","Species","accepted","Forest, 1993","WoRMS"
"367430",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"albengai",NA,"Calcinus albengai","accepted","Species","accepted","Poupin & Lemaitre, 2003","WoRMS"
"367431",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"anani",NA,"Calcinus anani","accepted","Species","accepted","Poupin & McLaughlin, 1998","WoRMS"
"367432",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"argus",NA,"Calcinus argus","accepted","Species","accepted","Wooster, 1984","WoRMS"
"367433",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"californiensis",NA,"Calcinus californiensis","accepted","Species","accepted","Bouvier, 1898","WoRMS"
"367434",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"chilensis",NA,"Calcinus chilensis","accepted","Species","accepted","(H. Milne Edwards, 1836)","WoRMS"
"367435",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"dapsiles",NA,"Calcinus dapsiles","accepted","Species","accepted","Morgan, 1989","WoRMS"
"208679",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"elegans",NA,"Calcinus elegans","accepted","Species","accepted","(H. Milne Edwards, 1836)","WoRMS"
"367436",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"explorator",NA,"Calcinus explorator","accepted","Species","accepted","Boone, 1930","WoRMS"
"753940",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"fuscus",NA,"Calcinus fuscus","accepted","Species","accepted","Malay, Komai & TY Chan, 2012","WoRMS"
"208672",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"gaimardii",NA,"Calcinus gaimardii","accepted","Species","accepted","(H. Milne Edwards, 1848)","WoRMS"
"367437",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"gouti",NA,"Calcinus gouti","accepted","Species","accepted","Poupin, 1997","WoRMS"
"367438",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"guamensis",NA,"Calcinus guamensis","accepted","Species","accepted","Wooster, 1984","WoRMS"
"246235",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"haigae",NA,"Calcinus haigae","accepted","Species","accepted","Wooster, 1984","WoRMS"
"367439",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"hakahau",NA,"Calcinus hakahau","accepted","Species","accepted","Poupin & McLaughlin, 1998","WoRMS"
"367440",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"hazletti",NA,"Calcinus hazletti","accepted","Species","accepted","Haig & McLaughlin, 1984","WoRMS"
"367441",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"imperialis",NA,"Calcinus imperialis","accepted","Species","accepted","Whitelegge, 1901","WoRMS"
"367442",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"inconspicuus",NA,"Calcinus inconspicuus","accepted","Species","accepted","Morgan, 1991","WoRMS"
"367443",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"isabellae",NA,"Calcinus isabellae","accepted","Species","accepted","Poupin, 1997","WoRMS"
"367444",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"kurozumii",NA,"Calcinus kurozumii","accepted","Species","accepted","Asakura & Tachikawa, 2000","WoRMS"
"208669",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"laevimanus",NA,"Calcinus laevimanus","accepted","Species","accepted","(Randall, 1840)","WoRMS"
"208677",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"latens",NA,"Calcinus latens","accepted","Species","accepted","(Randall, 1840)","WoRMS"
"367445",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"laurentae",NA,"Calcinus laurentae","accepted","Species","accepted","Haig & McLaughlin, 1984","WoRMS"
"367446",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"lineapropodus",NA,"Calcinus lineapropodus","accepted","Species","accepted","Morgan & Forest, 1991","WoRMS"
"367447",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"mclaughlinae",NA,"Calcinus mclaughlinae","accepted","Species","accepted","Poupin & JM Bouchard, 2006","WoRMS"
"367448",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"minutus",NA,"Calcinus minutus","accepted","Species","accepted","Buitendijk, 1937","WoRMS"
"367449",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"morgani",NA,"Calcinus morgani","accepted","Species","accepted","Rahayu & Forest, 1999","WoRMS"
"208675",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"nitidus",NA,"Calcinus nitidus","accepted","Species","accepted","Heller, 1865","WoRMS"
"367450",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"obscurus",NA,"Calcinus obscurus","accepted","Species","accepted","Stimpson, 1859","WoRMS"
"367451",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"orchidae",NA,"Calcinus orchidae","accepted","Species","accepted","Poupin, 1997","WoRMS"
"107193",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"paradoxus",NA,"Calcinus paradoxus","accepted","Species","accepted","Bouvier, 1922","WoRMS"
"367452",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"pascuensis",NA,"Calcinus pascuensis","accepted","Species","accepted","Haig, 1974","WoRMS"
"746406",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"pictus",NA,"Calcinus pictus","accepted","Species","accepted","(Owen, 1839)","WoRMS"
"367453",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"pulcher",NA,"Calcinus pulcher","accepted","Species","accepted","Forest, 1958","WoRMS"
"367454",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"revi",NA,"Calcinus revi","accepted","Species","accepted","Poupin & McLaughlin, 1998","WoRMS"
"208678",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"rosaceus",NA,"Calcinus rosaceus","accepted","Species","accepted","Heller, 1861","WoRMS"
"208674",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"seurati",NA,"Calcinus seurati","accepted","Species","accepted","Forest, 1951","WoRMS"
"367455",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"sirius",NA,"Calcinus sirius","accepted","Species","accepted","Morgan, 1991","WoRMS"
"367456",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"spicatus",NA,"Calcinus spicatus","accepted","Species","accepted","Forest, 1951","WoRMS"
"246237",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"talismani",NA,"Calcinus talismani","accepted","Species","accepted","A. Milne-Edwards & Bouvier, 1892","WoRMS"
"367457",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"tibicen",NA,"Calcinus tibicen","accepted","Species","accepted","(Herbst, 1791 [in Herbst, 1791-1796])","WoRMS"
"208671",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"tropidomanus",NA,"Calcinus tropidomanus","accepted","Species","accepted","Lewinsohn, 1981","WoRMS"
"107194",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"tubularis",NA,"Calcinus tubularis","accepted","Species","accepted","(Linnaeus, 1767)","WoRMS"
"367458",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"urabaensis",NA,"Calcinus urabaensis","accepted","Species","accepted","NH Campos & Lemaitre, 1994","WoRMS"
"208673",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"vachoni",NA,"Calcinus vachoni","accepted","Species","accepted","Forest, 1958","WoRMS"
"367459",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"vanninii",NA,"Calcinus vanninii","accepted","Species","accepted","Gherardi & McLaughlin, 1994","WoRMS"
"367460",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"verrillii",NA,"Calcinus verrillii","accepted","Species","accepted","(Rathbun in Verrill, 1901)","WoRMS"
"367474",0,"Malacostraca","Decapoda","Calcinidae","Ciliopagurus",NA,"albatrossi",NA,"Ciliopagurus albatrossi","accepted","Species","accepted","Forest, 1995","WoRMS"
"367475",0,"Malacostraca","Decapoda","Calcinidae","Ciliopagurus",NA,"alcocki",NA,"Ciliopagurus alcocki","accepted","Species","accepted","Forest, 1995","WoRMS"
"367476",0,"Malacostraca","Decapoda","Calcinidae","Ciliopagurus",NA,"babai",NA,"Ciliopagurus babai","accepted","Species","accepted","Forest, 1995","WoRMS"
"412727",0,"Malacostraca","Decapoda","Calcinidae","Ciliopagurus",NA,"galzini",NA,"Ciliopagurus galzini","accepted","Species","accepted","Poupin & Malay, 2009","WoRMS"
"597283",0,"Malacostraca","Decapoda","Calcinidae","Ciliopagurus",NA,"grandis",NA,"Ciliopagurus grandis","accepted","Species","accepted","Komai, Reshmi & ANB Kumar, 2012","WoRMS"
"367478",0,"Malacostraca","Decapoda","Calcinidae","Ciliopagurus",NA,"haigae",NA,"Ciliopagurus haigae","accepted","Species","accepted","Forest, 1995","WoRMS"
"367479",0,"Malacostraca","Decapoda","Calcinidae","Ciliopagurus",NA,"hawaiiensis",NA,"Ciliopagurus hawaiiensis","accepted","Species","accepted","(McLaughlin & Baily-Brock, 1975)","WoRMS"
"367480",0,"Malacostraca","Decapoda","Calcinidae","Ciliopagurus",NA,"krempfi",NA,"Ciliopagurus krempfi","accepted","Species","accepted","(Forest, 1952)","WoRMS"
"367481",0,"Malacostraca","Decapoda","Calcinidae","Ciliopagurus",NA,"liui",NA,"Ciliopagurus liui","accepted","Species","accepted","Forest, 1995","WoRMS"
"367482",0,"Malacostraca","Decapoda","Calcinidae","Ciliopagurus",NA,"macrolepis",NA,"Ciliopagurus macrolepis","accepted","Species","accepted","Forest, 1995","WoRMS"
